LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2013,12.77,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2014,15.173,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1986,17.240999,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1987,15.625,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1989,11.111,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1991,10,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1993,11.504,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1995,14.583,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1998,7.6919999,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2000,8.5190001,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2002,10.345,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2004,6.6669998,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2006,7.6919999,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2008,11.765,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2010,9.9399996,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2012,11.111,
ITA,WAGEGAP,TOT,PC_MENWAGE,A,2014,5.5560002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1975,42.389999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1976,39.742001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1977,40.327,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1978,40.564999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1979,41.313,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1980,41.68,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1981,41.957001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1982,42.159,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1983,41.903,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1984,41.933998,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1985,41.659,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1986,41.605999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1987,41.226002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1988,41.018002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1989,40.963001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1990,40.598999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1991,39.898998,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1992,38.884998,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1993,38.451,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1994,37.816002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1995,37.09,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1996,36.847,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1997,36.521,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1998,35.307999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,1999,34.550999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2000,33.859001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2001,33.865002,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2002,32.529999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2003,31.997,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2004,31.087,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2005,32.825001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2006,32.980999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2007,31.742001,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2008,30.694,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2009,28.285,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2010,28.684,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2011,27.395,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2012,26.524,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2013,26.587999,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2014,25.871,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1985,52.776001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1992,46.965,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1993,47.259998,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1994,45.506001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1995,44.181999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1996,43.283001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1997,42.215,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1998,42.021999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,1999,41.803001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2000,41.653999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2001,40.416,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2002,41.028999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2003,40.083,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2004,39.624001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2005,39.617001,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2006,39.773998,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2007,38.161999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2008,39.036999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2009,38.615002,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2010,39.605999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2011,36.563999,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2012,36.299,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2013,36.599998,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2014,36.653,
LUX,WAGEGAP,TOT,PC_MENWAGE,A,2002,15.501,
LUX,WAGEGAP,TOT,PC_MENWAGE,A,2006,8.198,
LUX,WAGEGAP,TOT,PC_MENWAGE,A,2010,5,
LUX,WAGEGAP,TOT,PC_MENWAGE,A,2014,4.138,
NLD,WAGEGAP,TOT,PC_MENWAGE,A,2002,16.172001,
NLD,WAGEGAP,TOT,PC_MENWAGE,A,2006,16.007999,
NLD,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.236,
NLD,WAGEGAP,TOT,PC_MENWAGE,A,2014,14.115,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1984,21.475,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1986,23.014999,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1988,20.289,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1990,17.111,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1992,15.572,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1994,13.302,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1995,13.683,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1996,20.395,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1997,12.709,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1998,11.4,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,1999,8.3330002,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2000,7.1669998,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2001,8.0559998,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2002,7.3130002,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2003,7.6919999,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2004,8.0769997,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2005,9.6110001,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2006,9.3330002,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2007,7.1430001,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2008,8.0539999,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2009,8.7589998,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2010,7.0110002,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2011,4.533,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2012,5.908,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2013,6.5939999,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2014,6.0830002,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,1997,10.066,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,1998,10.08,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,1999,10.141,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2000,10.189,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2001,10.743,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2002,10.682,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2003,10.212,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2004,9.7060003,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2005,9.3889999,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2006,9.1619997,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2007,9.8310003,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2008,9.2360001,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2009,8.6689997,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2010,8.0600004,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2011,7.7810001,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.4070001,
